,name,requirements,branch,duplicate,completion,complete,completeRequirements
0,Ladybird Active Body,Explore reasons why exercise is important/Complete 3-4 physical activities in your unit including take part in a beanbag game & going for a ramble/Discuss the effect of exercies on your body,L,A,0.0,I,N
1,Ladybird Aviation,List 15 things that fly/Colour a picture of one Aer Lingus aircraft/Make something that flies (e.g. kite or rocket or paper aeroplane),L,A,0.0,I,N
2,Ladybird Bird Watcher,Make a simple Bird Feeder/Recognise 3 garden birds,L,B,0.0,I,N
3,Ladybird Book Lover,Listen to a story/Make a bookmark/Dress up as your favourite character from your favourite book,L,A,0.0,I,N
4,Ladybird Camp Cape,Help pitch a tent indoors/Make an Irish Girl Guide flag/Take part in an indoor campfire/Make an edible campfire/Make mud prints,L,A,0.0,I,N
5,Ladybird Cultural Diversity,Take part in games or activities that help Ladybirds get to know each other better/Listen to a story that identifies the need for us to respoect our differences/Complete a co-operation game or activity/Celebrate an International Cultural Festival,L,A,0.0,I,N
6,Ladybird Cybersecurity,Gain a basic understanding of what the internet is and how it works/Understand what information is and to distinguish between facts and fake news/Understand what a password is and how to create a strong one/Understand what our personal information how to be safe online/Understand how to behave online and to take the Cyber Smart Pledge,L,G,0.0,I,N
7,Ladybird Day Out,Know what to bring for the day/Know what to wear/Pack a healthy lunch/Take part in an event with another Unit(s),L,No,0.0,I,N
8,Ladybird Disability Awareness,Take part in activites that increase the awareness of our senses - visual & hearing in particular/Explore the role our senses have - warn us of danger & so on/Discuss what happens if these senses don't work - do our other senses get stronger to help us. Can we use things to help us?/Check if your meeting hall is friendly for a wheelchair user,L,A,0.0,I,N
9,Ladybird Engineering,Learn about engineering and play a game to spot engineering at a campsite/Become a STEPS Engineer Investigator by completing a treasure hunt in the local area or in the Unit/Complete an engineering colouring sheet/Take on the Engineering Challenge: to design and build a fantastic Ladybird Unit Centre (Research & invite a local engineer to the Unit if possible),L,A,0.0,I,N
10,Ladybird Environmental Awareness,Play games to identify ways of reducing energy and water use in the home/Produce a reminder for your house to save energy/Recognise the appropriate bins for your rubbish/Learn a song about recycling,L,A,0.0,I,N
11,Ladybird Europe,Recognise and colour in the European Union Flag/Learn greeting customs from 3 different countries/Make rubbings of Euro coins and name some of the countries of the EU,L,A,0.0,I,N
12,Ladybird Fire Safety,Take part in a fire drill at your Unit meeting (When possible visit a fire station or invite a fire officer to your meeting)/Learn the fire drill song/Learn how to safely get out of a smoke-filled room/Learn Stop Drop & Roll,L,A,0.0,I,N
13,Ladybird First Aid,Discuss what emergency first aid is and who can do it? (e.g. know how to call the emergency services or be familiar with your eircode)/How to remain calm in difficult situations/Discuss different scenarios that might require first aid/Learn some first aid techniques (e.g. recovery position or how to look after cuts and grazes or how to put on a sling using your neckerchief),L,A,0.0,I,N
14,Ladybird Healthy Body,Identify the healthy food plate/Eat a vegetable or fruit plate/Discuss the keep clean routine/Demonstrate how to wash your hands correctly,L,A,0.0,I,N
15,Ladybird Healthy Friendship,Identify what is a good friend & that we can have lots of friends & that each of us is special/Give examples of how to relate to different people & rules of polite society/Discuss why Guiding Units are bully free zones/Understand happy and sad feelings,L,A,0.0,I,N
16,Ladybird Healthy Mind,Identify 5 things that make you special/Identify the IGG tagline/Demonstrate relaxation exercises/Discuss what feelings are and how to express them appropriately,L,A,0.0,I,N
17,Ladybird Irish Culture and Traditions,Recognise and colour the Irish flag and shamrock/Perform an Irish dance/Make a Tara brooch,L,A,0.0,I,N
18,Ladybird Medicine Safety,Learn the medicine safety rules/Identify where and how medicine should be stored safely/Practice making good choices,L,A,0.0,I,N
19,Ladybird Performing Arts,Make a musical instrument/Sing an action song/Say a poem/Copy a rhyme made by a Leader/Take part in a game of charades/Take part in a dance with your Unit,L,A,0.0,I,N
20,Ladybird Road Safety,Learn basic road safety skills to include performing the Safe Cross Code song/Describe how to travel safely in a car/Take part in a Bicycle Safety activity,L,A,0.0,I,N
21,Ladybird Robotics,What is a robot?/Watch a video about how robots move/Take part in three Six Bricks activities to learn about colour & movement & coding/Design and colour your own robot. Describe what it does and why it is useful. (By completing the FIRST® LEGO® League Discover Programme girls are automatically awarded this badge),L,A,0.0,I,N
22,Ladybird Safety in the Home,Discuss why your room must be tidy/Identify dangers around the home/Recognise what is safe or unsafe to play with/Show how to use a landline and mobile phone in an emergency,L,A,0.0,I,N
23,Ladybird Sleepover,Discuss and know what to take on a night away/Spend the night away with Ladybirds in a cottage or local hall etc. AND At the venue Ladybirds should help leaders with food preparation and cleaning up AND Take part in a 'campfire' (real or pretend) & learn a new song,L,A,0.0,I,N
24,Ladybird Space,Discuss suitable clothing and footwear to wear in all weathers/Name three things that are special about Earth that you could share with people from another planet/Observe the Moon in the day-time or night-time; draw what you see/Plan an imaginary trip to the Moon or to space/Design a constellation/Take part in an activity to learn the names of the planets: OR Play a game about a journey through the solar system OR Learn a song about the solar system,L,A,0.0,I,N
25,Ladybird Sportswoman,Keep a log for 2 weeks of your activity showing how you carried out or took part in it/Tell your Unit what equipment and materials and practice time you need for your activity,L,A,0.0,I,N
26,Ladybird STEM,Complete 1: Walking Water OR Moon Sand OR See Sound OR Static Electricity OR Cup Tower Challenge OR Does Air Weigh Anything OR Paper Cup Stand OR Sound Waves OR Leak Proof Bag/Complete 1 of the above/Complete 1 of the above/Complete 1 of the above/Complete 1: Egg Through a Bottle OR Lollipop Stick Chain Reaction OR Walking on Eggs,L,A,0.0,I,N
27,Ladybird Voting,Explain three methods of voting/Use these methods to reach three decisions at your meeting,L,A,0.0,I,N
28,Ladybird Water Safety,Explore and discuss at least 2 of the “Hold Hands” Water Safety Programme e.g. safety by the beach or by the river or on the farm or by the lake/Take the Water Safety Quiz/Colour in the Lifeguard flags and know what each one means,L,A,0.0,I,N
29,Ladybird World Guiding,Learn a dance from another country/Learn greeting customs from 3 different countries/Eat some food from another country/Colour the Ladybird uniform from another country/Learn what & when World Thinking Day is/Take part in a World Thinking Day Celebration,L,A,0.0,I,N
30,Brownie Active Body,Explain the importance of exercise & what it does for our bodies/Show some exercises for warming up before taking exercise & stretching your muscles & cooling down afterwards/Identify different types of physical activities & show the correct clothes & equipment you need for an activity/Complete 1 of the following: Sprint 50m in 20s OR Jump 70cm (or 1/2 your height) in a long jump OR Skip forwards without a break for 30s OR Skip 2 fancy steps OR Hit a 1.5m high target with a tennis ball from a distance of 3.5m OR From a distance of 4m roll a ball between two skittles 30cm apart OR Throw & catch a ball or a beanbag a number of times OR Play a leap-frog game OR Spin a hoop around your waist for 20s OR Make up a 3min aerobic exercise sequence. Show this to your Six or Pack & get them to join in OR Take part in a French skipping game/Complete 1 of the above/Complete 1 of the above/Complete 1 of the above/Complete 1 of the above/Complete 1 of the above/Complete 1 of the above/Complete 1 of the above,B,A,0.0,I,N
31,Brownie Art and Craft,Complete 1 of the following: Know the primary colours. Mix them to make other colours OR Make a pattern you like. Use your design in a practical way e.g book cover OR Draw a picture of a Brownie activity you really enjoy doing OR Create a textured collage OR Design & decorate a t-shirt OR Knit a square OR Model a figure or animal OR Make a basket OR Make a friendship bracelet OR Weave a useful article OR Design a card for a celebration OR Make an artical from Fimo Clay OR Make a puppet OR Design a board game OR Make a mobile to amuse a small child OR Create a toy out of tights or socks OR Make a toy from recycled materials OR Make a toy of your choice/Complete 1 of the above/Complete 1 of the above (Earn another badge by doing 3 different options),B,A,0.0,I,N
32,Brownie Aviation,Name 8 careers linked with aviation or air transportation; pick your favourite & which you would like to do when you are a grown up & why/Investigate innovative women in the history of aviation/Make an aircraft & investigate what makes it go higher and further/Learn about the Phonetic Language of Aviation and learn how to say your name using the Language,B,A,0.0,I,N
33,Brownie Bird Watcher,Be able to recognise & describe at least six different Irish birds/Make a bird feeder/Keep a record of the birds that visit your feeder every day for a week OR Visit a habitat where you will see a selection of birds in their own environment & record the birds you see,B,L,0.0,I,N
34,Brownie Book Lover,Be a member of a local or school library. Visit the library/Make a poster showing some of the items you can borrow from the library/Read a book by 4 different authors & give a short account of each book/Make a bookmark/With the help of the Leader choose one other book to read/Show how to use a reference book,B,G,0.0,I,N
35,Brownie Camping,Attend an overnight Brownie Camp/Know what you need to bring to an overnight camp/Learn how to correctly pack your bag/Help pitch a tent & learn what the different parts of a tent are called/Learn how to care for a tent/Take care of your possessions at camp/Take part in all the activities at the camp wearing your Brownie Smile/Take part in an indoor or outdoor campfire,B,A,0.0,I,N
36,Brownie Collector,Create a collection (25-30 items) over a period of time ensuring it's fun & you can afford it & you have the space for it/Explain how long it took to create the collection & where the items came from & what you like about them & why you chose to collect them/Visit one other collection. Describe your visit & what you saw & how the collections were displayed,B,No,0.0,I,N
